configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,org.apache.commons.cli.AlreadySelectedException,BRANCH,1.0,2,8,1.0,4,4,4,7,4,4,50,4353,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.cli.AmbiguousOptionException,BRANCH,1.0,2,8,0.125,6,6,3,16,3,3,50,5453,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.cli.BasicParser,BRANCH,1.0,1,4,1.0,2,2,2,2,2,2,50,4318,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.cli.CommandLine,BRANCH,0.9811320754716981,19,68,0.45454545454545453,53,52,24,62,24,24,55797,35258,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.cli.DefaultParser,BRANCH,0.4581005586592179,14,109,0.16865079365079366,179,82,24,117,24,19,12902,36797,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.cli.GnuParser,BRANCH,0.9047619047619048,5,36,0.36619718309859156,21,19,2,25,2,2,67064,34645,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.cli.MissingArgumentException,BRANCH,1.0,1,3,1.0,3,3,3,5,3,3,50,4046,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.cli.MissingOptionException,BRANCH,1.0,3,12,0.125,9,9,4,15,4,4,50,4846,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.cli.OptionBuilder,BRANCH,1.0,18,21,0.0784313725490196,22,22,21,60,20,20,50,4468,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.cli.OptionGroup,BRANCH,1.0,9,32,0.7894736842105263,21,21,9,35,9,9,101,4556,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
