configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,org.apache.commons.codec.binary.Base32,BRANCH,0.9615384615384616,21,74,0.5635910224438903,104,100,14,173,14,14,48179,39679,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.binary.BinaryCodec,BRANCH,1.0,12,32,0.636094674556213,54,54,12,54,12,12,101,6714,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.binary.StringUtils,BRANCH,1.0,23,32,0.6666666666666666,39,39,21,39,21,21,6476,12027,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.CharEncoding,BRANCH,1.0,1,1,1.0,1,1,1,1,1,1,50,3820,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.DigestUtils,BRANCH,0.8865248226950354,54,116,0.4745762711864407,141,125,124,137,124,122,2296,42454,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.HmacUtils,BRANCH,0.8805970149253731,41,92,0.17525773195876287,67,59,58,82,57,57,50,79287,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.MessageDigestAlgorithms,BRANCH,1.0,1,1,0.22972972972972974,1,1,2,1,1,1,50,4200,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.PureJavaCrc32,BRANCH,1.0,12,33,0.1878048780487805,23,23,6,25,6,6,101,7676,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.XXHash32,BRANCH,1.0,6,21,0.2660668380462725,23,23,9,79,9,9,1529,9757,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.Caverphone,BRANCH,1.0,4,9,0.25,6,6,5,9,5,5,50,5314,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.Caverphone1,BRANCH,1.0,2,4,0.061224489795918366,5,5,2,61,2,2,50,4806,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.ColognePhonetic,BRANCH,0.8909090909090909,7,15,0.36253776435045315,110,98,19,95,19,18,12173,41569,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.DaitchMokotoffSoundex,BRANCH,0.7313432835820896,11,23,0.34011627906976744,134,98,23,108,23,18,22040,40249,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.Metaphone,BRANCH,0.966824644549763,31,64,0.703125,211,204,12,164,12,12,18221,40629,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.Nysiis,BRANCH,1.0,13,27,0.6183745583038869,80,80,8,67,8,8,44726,30573,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.net.QuotedPrintableCodec,BRANCH,0.9560439560439561,26,73,0.5856697819314641,91,87,24,109,24,23,22279,40431,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.net.RFC1522Codec,BRANCH,1.0,12,26,0.5849056603773585,19,19,4,39,4,4,13973,21289,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.net.URLCodec,BRANCH,0.9565217391304348,16,35,0.5833333333333334,46,44,14,63,14,14,52127,35825,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.net.Utils,BRANCH,1.0,4,4,0.48717948717948717,4,4,3,6,3,3,50,3890,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.Resources,BRANCH,1.0,3,3,0.5,3,3,2,5,2,2,968,4823,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.StringEncoderComparator,BRANCH,1.0,2,5,0.3333333333333333,3,3,3,11,3,3,50,8529,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.binary.Base32,BRANCH,0.9615384615384616,21,63,0.5635910224438903,104,100,14,173,14,14,27335,39772,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.binary.Base32,BRANCH,0.9615384615384616,25,79,0.5536159600997507,104,100,14,173,14,14,35120,40614,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.binary.BinaryCodec,BRANCH,1.0,12,32,0.6420118343195266,54,54,12,54,12,12,101,8208,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.binary.StringUtils,BRANCH,1.0,25,36,0.6923076923076923,39,39,21,39,21,21,611,9054,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.CharEncoding,BRANCH,1.0,1,1,1.0,1,1,1,1,1,1,50,4040,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.DigestUtils,BRANCH,0.8865248226950354,54,118,0.4576271186440678,141,125,124,139,124,123,2410,37149,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.HmacUtils,BRANCH,0.9402985074626866,41,92,0.41237113402061853,67,63,58,84,57,57,2410,40086,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.MessageDigestAlgorithms,BRANCH,1.0,1,1,0.22972972972972974,1,1,2,1,1,1,50,3721,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.PureJavaCrc32,BRANCH,1.0,12,33,0.1878048780487805,23,23,6,25,6,6,101,5985,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.XXHash32,BRANCH,1.0,6,22,0.2737789203084833,23,23,9,79,9,9,7904,14034,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.Caverphone,BRANCH,1.0,4,8,0.75,6,6,5,9,5,5,50,4387,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.Caverphone1,BRANCH,1.0,3,6,0.6122448979591837,5,5,2,61,2,2,50,4504,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.ColognePhonetic,BRANCH,0.8909090909090909,7,14,0.3202416918429003,110,98,19,95,19,18,27459,37881,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.DaitchMokotoffSoundex,BRANCH,0.7313432835820896,10,21,0.3372093023255814,134,98,23,108,23,18,15026,37767,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.Metaphone,BRANCH,0.9715639810426541,38,79,0.8489583333333334,211,205,12,165,12,12,20415,40770,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.Nysiis,BRANCH,1.0,16,33,0.6713780918727915,80,80,8,67,8,8,6833,14211,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.net.QuotedPrintableCodec,BRANCH,0.9560439560439561,27,79,0.6386292834890965,91,87,24,109,24,23,25907,39004,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.net.RFC1522Codec,BRANCH,1.0,12,27,0.5786163522012578,19,19,4,39,4,4,11219,15216,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.net.URLCodec,BRANCH,0.9565217391304348,18,48,0.5104166666666666,46,44,14,63,14,14,51171,36609,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.net.Utils,BRANCH,1.0,4,4,0.5897435897435898,4,4,3,6,3,3,50,4223,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.Resources,BRANCH,1.0,3,3,0.5,3,3,2,5,2,2,2447,5965,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.StringEncoderComparator,BRANCH,1.0,2,4,0.3333333333333333,3,3,3,11,3,3,50,5557,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
