configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.6457883369330454,117,342,0.044647387113140535,463,297,198,465,209,184,6731,55681,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.6112311015118791,110,324,0.042279722645019446,463,283,198,449,209,174,4852,51923,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.5961123110151187,108,312,0.030534351145038167,463,276,198,437,209,174,4113,86047,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.5032397408207343,83,235,0.031891433418150976,463,233,198,379,209,145,1427,87821,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.6414686825053996,109,325,0.04240882103477523,463,297,198,471,209,179,4640,64665,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.6112311015118791,105,302,0.043125317097919835,463,283,198,463,209,181,1835,72254,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.5745140388768899,102,300,0.04143412819211906,463,266,198,434,209,173,3127,76425,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.5010799136069114,79,229,0.028159457167090753,463,232,198,374,209,148,509,62799,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.6047516198704104,109,330,0.0289193302891933,463,280,198,453,209,178,3850,71174,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.5831533477321814,107,310,0.04126500930153898,463,270,198,431,209,170,2345,71352,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-UNI,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.4773218142548596,82,228,0.030873621713316368,463,219,198,344,209,132,662,78738,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,UNI,RANK
RANK-UNI,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.4557235421166307,77,216,0.025170068027210883,463,209,198,336,209,128,560,75216,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,UNI,RANK
RANK-UNI,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.42332613390928725,70,187,0.04206955046649703,463,196,198,322,209,116,560,69806,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,UNI,RANK
RANK-UNI,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.4557235421166307,74,207,0.02814513394370973,463,214,198,346,209,140,815,69302,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,UNI,RANK
RANK-UNI,com.github.kevinsawicki.http.HttpRequest,BRANCH,0.43412526997840173,73,201,0.03170566293658868,463,201,198,319,209,122,713,71649,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,UNI,RANK
