configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,org.joda.money.BigMoney,BRANCH,0.9386503067484663,90,380,0.54,163,153,86,259,85,83,14126,47528,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.CurrencyMismatchException,BRANCH,1.0,3,6,1.0,6,6,3,5,3,3,50,4739,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.CurrencyUnit,BRANCH,0.9512195121951219,38,84,0.3446327683615819,82,78,28,97,28,26,21670,37826,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.CurrencyUnitDataProvider,BRANCH,1.0,2,4,0.0,3,3,3,3,3,3,50,4172,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.DefaultCurrencyUnitDataProvider,BRANCH,0.29411764705882354,1,1,0.0,34,1,6,1,6,1,64547,34257,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.AmountPrinterParser,BRANCH,0.9318181818181818,18,189,0.35142118863049093,88,83,6,93,6,6,10263,46143,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.LiteralPrinterParser,BRANCH,1.0,5,19,0.9047619047619048,7,7,4,12,4,4,101,5077,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.MoneyFormatException,BRANCH,1.0,2,6,1.0,4,4,3,7,3,3,50,4031,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.MoneyFormatterBuilder,BRANCH,0.475,14,41,0.007462686567164179,40,19,27,36,28,16,99143,35122,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.MoneyParseContext,BRANCH,1.0,15,66,0.6666666666666666,32,32,24,57,24,24,356,6625,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.MoneyPrintContext,BRANCH,1.0,2,4,0.0,3,3,3,5,3,3,50,4518,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.MultiPrinterParser,BRANCH,1.0,8,76,0.42592592592592593,35,35,7,34,7,7,203,7290,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.SignedPrinterParser,BRANCH,0.625,6,63,0.1557377049180328,32,20,4,27,4,4,53232,35505,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.IllegalCurrencyException,BRANCH,1.0,1,1,1.0,1,1,1,2,1,1,50,3877,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.Money,BRANCH,0.956989247311828,57,211,0.25555555555555554,93,89,75,110,74,72,38980,37511,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.MoneyUtils,BRANCH,1.0,43,168,0.7428571428571429,62,62,15,48,14,14,5252,14680,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.Ser,BRANCH,0.3076923076923077,2,10,0.0,26,8,9,10,9,3,40,35174,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.BigMoney,BRANCH,0.9325153374233128,86,354,0.4375,163,152,86,258,85,83,16645,45564,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.CurrencyMismatchException,BRANCH,1.0,3,6,1.0,6,6,3,5,3,3,50,5205,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.CurrencyUnit,BRANCH,0.9512195121951219,38,84,0.3135593220338983,82,77,28,101,28,26,24718,38807,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.CurrencyUnitDataProvider,BRANCH,1.0,2,4,0.0,3,3,3,3,3,3,50,4045,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.DefaultCurrencyUnitDataProvider,BRANCH,0.29411764705882354,1,1,0.0,34,1,6,1,6,1,61123,34199,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.AmountPrinterParser,BRANCH,0.9204545454545454,16,161,0.4160206718346253,88,81,6,91,6,6,14481,41029,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.LiteralPrinterParser,BRANCH,1.0,4,23,0.9047619047619048,7,7,4,11,4,4,101,4809,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.MoneyFormatException,BRANCH,1.0,2,7,1.0,4,4,3,7,3,3,50,4070,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.MoneyFormatterBuilder,BRANCH,0.475,13,39,0.007462686567164179,40,19,27,37,28,16,95898,35164,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.MoneyParseContext,BRANCH,1.0,14,68,0.6785714285714286,32,32,24,57,24,24,407,6059,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.money.format.MoneyPrintContext,BRANCH,1.0,2,6,0.0,3,3,3,7,3,3,50,4629,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
