configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,org.joda.time.convert.DateConverter,BRANCH,1.0,2,8,1.0,3,3,3,5,3,3,50,9050,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.BasicFixedMonthChronology,BRANCH,0.8333333333333334,11,30,0.5546558704453441,24,16,15,26,15,12,17685,39320,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.BasicMonthOfYearDateTimeField,BRANCH,0.9565217391304348,25,90,0.7134831460674157,69,66,18,124,18,17,12942,45247,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,BRANCH,0.8888888888888888,9,45,0.5909090909090909,18,15,13,20,13,11,15873,38220,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.BasicYearDateTimeField,BRANCH,0.9583333333333334,17,66,0.6213592233009708,24,22,19,40,19,17,22388,39364,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.EthiopicChronology,BRANCH,0.8055555555555556,8,18,0.47023809523809523,36,18,14,28,14,12,17546,41106,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.GJDayOfWeekDateTimeField,BRANCH,0.9090909090909091,6,42,1.0,11,8,11,10,11,8,79238,38723,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.GJMonthOfYearDateTimeField,BRANCH,1.0,5,20,0.8333333333333334,6,6,6,7,6,6,50,10395,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.JulianChronology,BRANCH,0.8636363636363636,11,21,0.4801762114537445,44,25,19,35,19,13,16403,40052,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.LimitChronology,BRANCH,0.008928571428571428,1,1,0.0,112,1,54,2,53,1,29391,38404,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.ZonedChronology,BRANCH,0.3161290322580645,39,165,0.136986301369863,155,49,67,75,66,42,8920,48104,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.convert.CalendarConverter,BRANCH,0.7692307692307693,5,17,0.13333333333333333,13,10,5,20,5,5,23953,39801,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.DateTime,BRANCH,0.9529411764705882,119,391,0.6222222222222222,170,162,127,226,127,112,10684,48194,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.DateTimeUtils,BRANCH,0.6984126984126984,28,40,0.4962962962962963,63,43,31,75,31,29,13127,37723,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.format.DateTimeFormat,BRANCH,0.7407407407407407,56,93,0.06549520766773163,459,300,36,166,36,35,8516,82845,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.format.DateTimeFormatter,BRANCH,0.5315315315315315,37,157,0.2880658436213992,111,58,50,97,49,46,8842,43502,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.format.DateTimeParserBucket,BRANCH,0.2912621359223301,12,27,0.10810810810810811,103,30,35,57,35,10,15853,41870,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.format.ISODateTimeFormat,BRANCH,0.5784615384615385,75,163,0.12006319115323855,325,188,119,173,119,60,7904,47502,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.format.PeriodFormatter,BRANCH,1.0,19,88,0.4666666666666667,33,33,19,58,19,19,1529,21334,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
