configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,org.json.CDL,BRANCH,0.8085106382978723,15,52,0.23738872403560832,94,76,11,78,11,11,3847,101800,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.Cookie,BRANCH,0.9076923076923077,12,19,0.5840978593272171,65,59,5,77,5,5,7161,43034,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.CookieList,BRANCH,0.8888888888888888,2,5,0.3548387096774194,9,8,3,23,3,3,49010,35602,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.HTTP,BRANCH,0.9629629629629629,7,16,0.7468354430379747,27,26,3,45,3,3,22247,35376,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.HTTPTokener,BRANCH,1.0,3,8,0.7,15,15,2,17,2,2,2957,8057,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONArray,BRANCH,0.7307692307692307,73,228,0.2683578104138852,234,171,84,276,84,82,1784,54712,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONException,BRANCH,1.0,2,4,1.0,3,3,3,6,3,3,50,4896,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONML,BRANCH,0.32167832167832167,12,23,0.008,143,46,12,67,12,11,3824,41285,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONObject,BRANCH,0.617056856187291,87,234,0.24051654560129138,598,369,104,460,103,94,1669,63148,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONPointer,BRANCH,1.0,16,44,0.38317757009345793,43,43,13,74,13,13,1121,18366,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONPointerException,BRANCH,1.0,1,2,1.0,2,2,2,4,2,2,50,4674,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONStringer,BRANCH,1.0,2,6,0.875,3,3,2,2,2,2,50,6406,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONTokener,BRANCH,0.7697841726618705,20,48,0.30615640599001664,139,95,21,129,21,21,396,50417,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONWriter,BRANCH,0.8333333333333334,20,93,0.4498567335243553,84,70,15,86,15,15,5354,40053,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.Property,BRANCH,0.9230769230769231,5,9,1.0,13,12,3,17,3,3,10334,36204,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.XML,BRANCH,0.6133828996282528,38,53,0.3561430793157076,269,165,24,189,26,25,2914,44260,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.XMLTokener,BRANCH,0.99375,48,128,0.5095238095238095,160,159,9,127,9,9,22954,43645,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.CDL,BRANCH,0.7021276595744681,14,33,0.1661721068249258,94,66,11,70,11,11,409,43543,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.Cookie,BRANCH,0.9076923076923077,12,19,0.42507645259938837,65,59,5,77,5,5,10339,39260,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.CookieList,BRANCH,0.8888888888888888,4,5,0.03225806451612903,9,8,3,20,3,3,25621,35609,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.CDL,BRANCH,0.6914893617021277,15,45,0.08605341246290801,94,65,11,67,11,11,1054,80864,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.Cookie,BRANCH,0.8923076923076924,12,17,0.7522935779816514,65,58,5,77,5,5,10220,38811,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.CookieList,BRANCH,0.8888888888888888,4,5,0.03225806451612903,9,8,3,20,3,3,28487,36295,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.HTTP,BRANCH,0.9629629629629629,7,16,0.7468354430379747,27,26,3,45,3,3,42227,35951,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.HTTPTokener,BRANCH,1.0,4,8,0.7428571428571429,15,15,2,17,2,2,101,7485,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONArray,BRANCH,0.7777777777777778,78,257,0.2937249666221629,234,182,84,292,84,83,3284,64595,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONException,BRANCH,1.0,2,4,1.0,3,3,3,6,3,3,50,4218,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONML,BRANCH,0.3986013986013986,13,21,0.008,143,57,12,82,12,11,9735,41595,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONObject,BRANCH,0.5585284280936454,78,232,0.21549636803874092,598,334,104,436,103,93,793,85758,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONPointer,BRANCH,1.0,15,37,0.37383177570093457,43,43,13,75,13,13,3110,12685,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONPointerException,BRANCH,1.0,1,2,1.0,2,2,2,4,2,2,50,5285,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONStringer,BRANCH,1.0,2,5,0.875,3,3,2,2,2,2,50,4867,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONTokener,BRANCH,0.7841726618705036,28,71,0.37104825291181365,139,95,21,129,21,21,109,45722,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.JSONWriter,BRANCH,0.8333333333333334,20,72,0.4040114613180516,84,70,15,85,15,15,3615,43520,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.Property,BRANCH,0.9230769230769231,4,10,1.0,13,12,3,17,3,3,1267,34966,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.XML,BRANCH,0.5947955390334573,33,55,0.2317262830482115,269,160,24,187,26,25,3858,41458,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.XMLTokener,BRANCH,0.99375,51,130,0.49523809523809526,160,159,9,127,9,9,33663,38079,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.CDL,BRANCH,0.7021276595744681,12,36,0.1513353115727003,94,66,11,68,11,11,2362,83012,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.json.Cookie,BRANCH,0.9230769230769231,13,19,0.5535168195718655,65,60,5,77,5,5,12073,40071,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
