configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,org.jsoup.helper.DataUtil,BRANCH,0.308411214953271,11,30,0.12244897959183673,107,33,13,48,12,10,32,53993,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.jsoup.helper.W3CDom,BRANCH,0.75,11,51,0.29850746268656714,56,42,15,90,15,15,12902,41403,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.jsoup.internal.Normalizer,BRANCH,1.0,4,4,0.3333333333333333,6,6,4,4,4,4,50,3682,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.jsoup.internal.StringUtil,BRANCH,0.8876404494382022,31,53,0.6403940886699507,89,79,18,82,18,18,2294,45669,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.jsoup.nodes.Attribute,BRANCH,0.9322033898305084,24,68,0.5454545454545454,59,55,20,61,20,20,15290,40451,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.jsoup.nodes.Document,BRANCH,0.8494623655913979,25,64,0.5989010989010989,93,79,47,154,45,45,18036,50484,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.jsoup.nodes.Entities,BRANCH,0.75,25,52,0.4054794520547945,88,66,19,76,16,13,13922,37810,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.jsoup.nodes.Node,BRANCH,0.8455284552845529,35,108,0.2888015717092338,123,104,55,196,55,54,3518,91951,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.jsoup.nodes.NodeUtils,BRANCH,1.0,6,12,1.0,7,7,3,5,3,3,101,16428,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.jsoup.nodes.TextNode,BRANCH,0.8695652173913043,17,54,0.3448275862068966,46,40,15,35,15,15,15233,48264,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
