"Group.1","Coverage","Size","Length","MutationScore","Fitness_Evaluations","Coverage_SD"
"BESTK-DP",0.856,17.5613,59.3751,0.4521,19608.0816,0.2357
"BESTK-SP",0.8572,17.5587,61.0578,0.4585,18514.3212,0.2331
"BESTK-UNI",0.8245,18.0897,110.1252,0.4405,11509.6559,0.246
"RANK-DP",0.8523,17.3139,58.7965,0.4517,16262.845,0.2338
"RANK-SP",0.853,17.338,60.178,0.452,15776.504,0.2337
"RANK-UNI",0.8136,15.2492,50.3454,0.4268,11655.9613,0.2543
"RW-DP",0.8432,17.1119,57.0244,0.4486,17787.4701,0.2384
"RW-SP",0.849,16.9896,56.6714,0.4516,16923.5113,0.232
"RW-UNI",0.8076,15.1417,47.6928,0.4276,10709.7814,0.2534
"TRNMT-DP",0.8407,16.9847,57.3236,0.4502,18288.1112,0.241
"TRNMT-SP",0.8448,17.3443,58.7542,0.4505,16083.9953,0.2359
"TRNMT-UNI",0.8069,15.0672,49.0843,0.4218,11183.3593,0.252
