"Group.1","Coverage","Size","Length","MutationScore","Fitness_Evaluations","Coverage_SD"
"BESTK-DP",0.96,16.16,37.08,0.5,16484.37,0.07
"BESTK-SP",0.96,16.08,43.99,0.5,13516.56,0.07
"BESTK-UNI",0.94,15.28,34.56,0.48,9386.14,0.08
"RANK-DP",0.96,15.8,36.46,0.51,15869.43,0.07
"RANK-SP",0.96,15.45,35.63,0.5,11621.64,0.07
"RANK-UNI",0.94,14.99,46.36,0.47,7851.73,0.08
"RW-DP",0.96,15.64,35.66,0.49,28311.81,0.07
"RW-SP",0.95,15.18,34.79,0.49,13705.62,0.07
"RW-UNI",0.94,14.38,32.47,0.48,10670.99,0.09
"TRNMT-DP",0.95,15.37,35.57,0.49,28649.91,0.1
"TRNMT-SP",0.96,15.81,36.71,0.5,16776.6,0.07
"TRNMT-UNI",0.93,15.34,45.2,0.48,14643.83,0.1
