"Group.1","Coverage","Size","Length","MutationScore","Fitness_Evaluations","Coverage_SD"
"BESTK-DP",0.91,10.31,35.16,0.4,14517.29,0.22
"BESTK-SP",0.9,10.36,35.22,0.42,10586.13,0.22
"BESTK-UNI",0.89,9.12,31.35,0.41,6249.95,0.22
"RANK-DP",0.9,10.25,34.53,0.42,9651.78,0.22
"RANK-SP",0.9,10.25,35.35,0.41,12997.82,0.22
"RANK-UNI",0.89,9.55,32.03,0.43,8486.17,0.24
"RW-DP",0.89,10.14,35.02,0.4,12068.05,0.23
"RW-SP",0.9,10.3,35.03,0.41,15281.08,0.22
"RW-UNI",0.88,9.53,32.04,0.4,8127.59,0.24
"TRNMT-DP",0.89,10.31,34.79,0.41,17120.46,0.23
"TRNMT-SP",0.9,10.21,35.31,0.4,16748.4,0.22
"TRNMT-UNI",0.88,9.32,31.3,0.38,7598.07,0.24
