"Group.1","Coverage","Size","Length","MutationScore","Fitness_Evaluations","Coverage_SD"
"BESTK-DP",0.58,102.3,300.8,0.04,3212,0.05
"BESTK-SP",0.62,111.2,332.8,0.04,3923.9,0.04
"BESTK-UNI",0.45,72,193.8,0.04,708,0.03
"RANK-DP",0.62,110.1,332.6,0.04,4764.9,0.03
"RANK-SP",0.59,102.9,300.9,0.04,3342.9,0.05
"RANK-UNI",0.45,74.1,201.9,0.03,718.1,0.02
"RW-DP",0.62,110.7,326.3,0.04,5235.2,0.03
"RW-SP",0.6,109.8,326.6,0.04,4518.9,0.02
"RW-UNI",0.49,79.5,223,0.04,922,0.02
"TRNMT-DP",0.61,109.7,323.6,0.04,3716.9,0.02
"TRNMT-SP",0.62,112.3,328.9,0.05,4416.1,0.02
"TRNMT-UNI",0.45,73.5,197.7,0.03,787.8,0.03
