"Group.1","Coverage","Size","Length","MutationScore","Fitness_Evaluations","Coverage_SD"
"BESTK-DP",0.7713,25.567,81.2216,0.4142,46473.8196,0.2643
"BESTK-SP",0.7695,25.32,81.365,0.428,32122.425,0.2639
"BESTK-UNI",0.7306,21.1566,64.5808,0.4251,28276.8939,0.2892
"RANK-DP",0.7685,24.9447,79.1508,0.4357,41009.2563,0.2668
"RANK-SP",0.7546,24.2172,76.1061,0.4378,16818.904,0.2724
"RANK-UNI",0.7074,20.2563,60.1005,0.4075,19500.8291,0.3015
"RW-DP",0.7582,23.804,74.799,0.4348,33006.4925,0.2693
"RW-SP",0.7545,23.2296,72.4694,0.434,20410.0867,0.2743
"RW-UNI",0.7051,20.4646,60.2929,0.4218,10481.3535,0.3051
"TRNMT-DP",0.753,23.8274,74.5482,0.4371,32039.9746,0.2776
"TRNMT-SP",0.7522,24.045,74.48,0.4292,16675.585,0.2729
"TRNMT-UNI",0.7085,20.1574,60.1777,0.4051,9919.5482,0.2969
