"Group.1","Coverage","Size","Length","MutationScore","Fitness_Evaluations","Coverage_SD"
"BESTK-DP",0.85,21.44,58.83,0.53,6417.73,0.16
"BESTK-SP",0.86,21.01,57.83,0.53,10037.66,0.16
"BESTK-UNI",0.81,18.81,49.93,0.52,5593.41,0.19
"RANK-DP",0.86,22.05,61.49,0.52,13185.21,0.15
"RANK-SP",0.85,21.54,59.68,0.51,9998.25,0.16
"RANK-UNI",0.81,19.36,51.85,0.5,7869.54,0.2
"RW-DP",0.86,22.19,61.52,0.54,15791.46,0.15
"RW-SP",0.85,21.56,59.88,0.53,12848.21,0.15
"RW-UNI",0.8,18.94,50.83,0.51,7339.46,0.2
"TRNMT-DP",0.84,21.03,58.55,0.51,12811.33,0.17
"TRNMT-SP",0.85,21.46,60.8,0.52,8972.31,0.15
"TRNMT-UNI",0.8,18.46,49.33,0.5,7733.54,0.2
