"Group.1","Coverage","Size","Length","MutationScore","Fitness_Evaluations","Coverage_SD"
"BESTK-DP",0.8801,20.3952,67.7186,0.4962,19400.5569,0.1662
"BESTK-SP",0.8811,20.3537,68.6524,0.5142,19631.0793,0.1668
"BESTK-UNI",0.8195,16.9509,51.6748,0.4702,6437.1595,0.1942
"RANK-DP",0.8437,19.0893,60.7798,0.4567,5867.2619,0.1796
"RANK-SP",0.8676,20.1024,68.506,0.491,13353.8554,0.1662
"RANK-UNI",0.7983,16.7126,49.6347,0.4397,4838.1138,0.1975
"RW-DP",0.8454,19.1538,59.7101,0.4656,8600.4083,0.1807
"RW-SP",0.8495,19.2202,61.3274,0.4766,10212.0952,0.1756
"RW-UNI",0.7837,16.4615,49.1124,0.4318,4967.7101,0.1977
"TRNMT-DP",0.8466,19.2544,62.355,0.4762,9088.4083,0.175
"TRNMT-SP",0.8483,19.4192,64.4671,0.4795,11853.7066,0.1795
"TRNMT-UNI",0.793,16.426,48.787,0.4453,7959.2544,0.1948
