"Group.1","Coverage","Size","Length","MutationScore","Fitness_Evaluations","Coverage_SD"
"BESTK-DP",0.85,22.6,108.41,0.41,23658.38,0.23
"BESTK-SP",0.85,22.66,109.54,0.42,26689.61,0.23
"BESTK-UNI",0.8,20.26,91.88,0.38,12798.04,0.23
"RANK-DP",0.84,21.88,104.74,0.41,12948.01,0.23
"RANK-SP",0.85,22.21,110.21,0.42,22795.1,0.22
"RANK-UNI",0.77,19.6,88.06,0.36,11497.23,0.24
"RW-DP",0.83,21.88,103.72,0.4,20094.93,0.23
"RW-SP",0.84,22,104.68,0.4,21974.71,0.23
"RW-UNI",0.76,19.48,86.22,0.35,14889.68,0.24
"TRNMT-DP",0.84,21.86,104.58,0.41,20923.04,0.22
"TRNMT-SP",0.83,22.22,105.06,0.41,21364.35,0.23
"TRNMT-UNI",0.76,19.17,85.02,0.35,14306.6,0.24
