configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,org.locationtech.spatial4j.shape.impl.RectangleImpl,BRANCH,0.8717948717948718,43,206,0.3378099173553719,156,136,29,136,29,29,21943,41394,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.shape.impl.GeoCircle,BRANCH,0.8899082568807339,29,234,0.5345268542199488,109,97,8,108,8,8,20602,40503,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.context.SpatialContext,BRANCH,1.0,22,67,0.6854838709677419,46,46,30,59,30,30,2957,13668,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.distance.CartesianDistCalc,BRANCH,1.0,22,100,0.5119705340699816,34,34,13,59,13,13,968,10158,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.distance.DistanceUtils,BRANCH,0.928,42,73,0.3060556464811784,125,116,21,149,20,20,19175,40684,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.io.GeohashUtils,BRANCH,1.0,7,9,0.5081967213114754,39,39,8,61,7,7,50,8949,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.io.GeoJSONReader,BRANCH,0.023148148148148147,3,12,0.0018050541516245488,216,5,18,11,18,5,57883,35077,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.io.OnePointsBuilder,BRANCH,0.7857142857142857,5,26,0.038461538461538464,14,11,5,13,5,5,56150,34938,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.io.PolyshapeWriter,BRANCH,1.0,12,99,0.7837837837837838,39,39,12,94,12,12,13055,39416,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.shape.impl.BBoxCalculator,BRANCH,0.9324324324324325,11,62,0.21428571428571427,74,69,12,92,12,12,37408,37897,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.shape.impl.BufferedLine,BRANCH,0.9178082191780822,35,194,0.5734767025089605,73,67,19,96,19,19,23683,42356,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.shape.impl.CircleImpl,BRANCH,0.9072164948453608,29,175,0.5066666666666667,97,88,22,89,22,22,19991,43699,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.shape.impl.PointImpl,BRANCH,0.9285714285714286,19,80,0.4411764705882353,42,39,18,37,18,18,50336,36145,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.shape.impl.ShapeFactoryImpl,BRANCH,0.8026315789473685,33,157,0.3700787401574803,76,61,39,69,40,36,33149,38191,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.shape.ShapeCollection,BRANCH,0.921875,22,155,0.5548780487804879,64,59,17,79,17,17,9383,41165,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.locationtech.spatial4j.SpatialPredicate,BRANCH,0.775,23,92,0.4945054945054945,40,29,15,24,23,14,28403,35960,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
