configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,io.vertx.core.cli.UsageMessageFormatter,BRANCH,0.8847926267281107,42,185,0.353938185443669,217,192,38,249,38,38,4776,104198,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.StartOfAuthorityRecord,BRANCH,1.0,7,14,0.75,8,8,8,16,8,8,50,4506,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.ByteArrayMessageCodec,BRANCH,1.0,5,14,0.28125,6,6,6,10,6,6,50,11951,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.JsonArrayMessageCodec,BRANCH,1.0,5,13,0.2,6,6,6,9,6,6,50,9436,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.impl.AssembledFullHttpResponse,BRANCH,0.08333333333333333,1,6,0.0,12,1,12,0,12,0,68339,35282,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.WebSocketConnectOptionsConverter,BRANCH,0.9285714285714286,6,25,0.3,28,26,4,21,4,4,21682,37303,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.FutureImpl,BRANCH,0.0,0,0,0.0,63,0,24,0,23,0,0,37812,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.launcher.commands.VersionCommand,BRANCH,0.4166666666666667,2,4,0.5454545454545454,24,10,3,11,3,3,119186,37613,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.StringEscapeUtils,BRANCH,0.7717391304347826,20,30,0.546583850931677,92,73,12,81,12,12,92278,35664,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.WorkerPool,BRANCH,1.0,4,16,1.0,5,5,4,10,4,4,101,30493,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.net.impl.URIDecoder,BRANCH,1.0,11,11,0.41125541125541126,43,43,4,43,3,3,2447,8221,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.RecordDecoder,BRANCH,0.9285714285714286,9,30,0.4131455399061033,28,24,5,34,5,5,22796,36621,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.ReflectionUtils,BRANCH,0.3333333333333333,3,5,0.2916666666666667,21,7,6,6,6,4,58495,34306,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.ConversionHelper,BRANCH,1.0,13,33,0.6666666666666666,31,31,8,44,8,8,713,12644,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.DefaultParser,BRANCH,0.5074626865671642,20,132,0.21042084168336672,201,102,29,156,29,22,14330,38614,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.UsageMessageFormatter,BRANCH,0.9262672811059908,49,253,0.38883349950149554,217,201,38,254,38,38,7809,101150,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.StartOfAuthorityRecord,BRANCH,1.0,7,14,0.8125,8,8,8,16,8,8,50,4119,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.ByteArrayMessageCodec,BRANCH,1.0,5,14,0.28125,6,6,6,10,6,6,50,9296,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.JsonArrayMessageCodec,BRANCH,1.0,5,16,0.2,6,6,6,9,6,6,50,7925,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.impl.AssembledFullHttpResponse,BRANCH,0.08333333333333333,1,5,0.0,12,1,12,0,12,0,93586,35259,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.WebSocketConnectOptionsConverter,BRANCH,0.8928571428571429,4,21,0.2,28,25,4,21,4,4,5611,36706,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.FutureImpl,BRANCH,0.0,0,0,0.0,63,0,24,0,23,0,0,36902,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.launcher.commands.VersionCommand,BRANCH,0.4166666666666667,2,4,0.5454545454545454,24,10,3,11,3,3,112964,37418,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.StringEscapeUtils,BRANCH,0.7717391304347826,19,28,0.5031055900621118,92,62,12,76,12,11,81139,35676,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.WorkerPool,BRANCH,1.0,4,17,0.0,5,5,4,10,4,4,101,33650,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.net.impl.URIDecoder,BRANCH,1.0,11,11,0.4329004329004329,43,43,4,43,3,3,12800,9660,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.RecordDecoder,BRANCH,0.9642857142857143,9,42,0.6901408450704225,28,26,5,37,5,5,31109,36335,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.ReflectionUtils,BRANCH,0.3333333333333333,3,5,0.375,21,7,6,4,6,4,63217,34305,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.ConversionHelper,BRANCH,1.0,11,25,0.6410256410256411,31,31,8,44,8,8,509,24294,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.DefaultParser,BRANCH,0.5422885572139303,27,140,0.3186372745490982,201,109,29,157,29,22,16299,38596,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.UsageMessageFormatter,BRANCH,0.8894009216589862,45,212,0.1226321036889332,217,194,38,249,38,38,7276,90582,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.StartOfAuthorityRecord,BRANCH,1.0,7,14,0.5625,8,8,8,16,8,8,50,4196,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.ByteArrayMessageCodec,BRANCH,1.0,5,14,0.28125,6,6,6,10,6,6,50,7300,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.JsonArrayMessageCodec,BRANCH,1.0,5,15,0.2,6,6,6,9,6,6,101,8116,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.impl.AssembledFullHttpResponse,BRANCH,0.08333333333333333,1,6,0.0,12,1,12,0,12,0,120892,35242,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.WebSocketConnectOptionsConverter,BRANCH,0.8928571428571429,5,18,0.15,28,25,4,21,4,4,25317,35577,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.FutureImpl,BRANCH,0.0,0,0,0.0,63,0,24,0,23,0,0,38307,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.launcher.commands.VersionCommand,BRANCH,0.4166666666666667,1,3,0.5454545454545454,24,10,3,11,3,3,122487,37278,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.StringEscapeUtils,BRANCH,0.7717391304347826,16,23,0.4658385093167702,92,62,12,74,12,11,60146,35292,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.WorkerPool,BRANCH,1.0,4,22,1.0,5,5,4,10,4,4,101,12862,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.net.impl.URIDecoder,BRANCH,1.0,11,11,0.46320346320346323,43,43,4,43,3,3,407,5885,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.ReflectionUtils,BRANCH,0.3333333333333333,3,5,0.375,21,7,6,4,6,4,63851,34242,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.ConversionHelper,BRANCH,1.0,14,36,0.7435897435897436,31,31,8,44,8,8,3161,14192,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.DefaultParser,BRANCH,0.5472636815920398,24,130,0.2785571142284569,201,110,29,159,29,22,16217,38587,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.UsageMessageFormatter,BRANCH,0.8663594470046083,42,166,0.3748753738783649,217,188,38,246,38,38,6472,104073,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.StartOfAuthorityRecord,BRANCH,1.0,7,14,0.625,8,8,8,16,8,8,50,4303,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.ByteArrayMessageCodec,BRANCH,1.0,3,10,0.71875,6,6,6,12,6,6,50,8520,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.JsonArrayMessageCodec,BRANCH,1.0,5,14,0.2,6,6,6,9,6,6,50,8005,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.impl.AssembledFullHttpResponse,BRANCH,0.08333333333333333,1,4,0.0,12,1,12,0,12,0,110767,35156,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.FutureImpl,BRANCH,0.0,0,0,0.0,63,0,24,0,23,0,0,37703,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.StringEscapeUtils,BRANCH,0.7717391304347826,16,23,0.5093167701863354,92,60,12,74,12,11,101664,35532,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.WorkerPool,BRANCH,1.0,2,12,1.0,5,5,4,0,4,0,50,23037,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.net.impl.URIDecoder,BRANCH,1.0,10,10,0.36796536796536794,43,43,4,43,3,3,101,5636,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.RecordDecoder,BRANCH,0.75,10,169,0.06103286384976526,28,21,5,29,5,5,578,159913,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.ReflectionUtils,BRANCH,0.3333333333333333,3,5,0.2916666666666667,21,7,6,6,6,4,67263,34301,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.ConversionHelper,BRANCH,1.0,16,46,0.6666666666666666,31,31,8,44,8,8,917,11239,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.DefaultParser,BRANCH,0.4975124378109453,23,124,0.250501002004008,201,100,29,144,29,21,18257,37559,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.UsageMessageFormatter,BRANCH,0.8709677419354839,40,183,0.4307078763708873,217,189,38,246,38,38,13981,59235,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.StartOfAuthorityRecord,BRANCH,1.0,7,14,0.6875,8,8,8,16,8,8,50,4240,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.ByteArrayMessageCodec,BRANCH,1.0,5,14,0.28125,6,6,6,10,6,6,50,9132,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.JsonArrayMessageCodec,BRANCH,1.0,5,13,0.2,6,6,6,6,6,6,101,8016,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.WebSocketConnectOptionsConverter,BRANCH,0.8928571428571429,4,17,0.3,28,25,4,21,4,4,25803,36476,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.FutureImpl,BRANCH,0.0,0,0,0.0,63,0,24,0,23,0,0,38292,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.launcher.commands.VersionCommand,BRANCH,0.4166666666666667,1,3,0.2727272727272727,24,10,3,11,3,3,115211,37332,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.StringEscapeUtils,BRANCH,0.7717391304347826,18,26,0.4968944099378882,92,61,12,73,12,11,93108,35400,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.WorkerPool,BRANCH,1.0,4,15,1.0,5,5,4,10,4,4,50,40450,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.net.impl.URIDecoder,BRANCH,1.0,11,11,0.4025974025974026,43,43,4,43,3,3,305,5957,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.RecordDecoder,BRANCH,0.9642857142857143,10,43,0.5258215962441315,28,27,5,37,5,5,32105,37104,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.ReflectionUtils,BRANCH,0.3333333333333333,3,5,0.375,21,7,6,4,6,4,66299,34533,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.ConversionHelper,BRANCH,1.0,14,39,0.6410256410256411,31,31,8,44,8,8,1427,12706,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.DefaultParser,BRANCH,0.5223880597014925,26,177,0.2905811623246493,201,105,29,152,29,22,13667,38732,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
